ocr_test_index,query_id,reference_metadata_text,hi_en_ocr_text,en_only_ocr_text,gold_transcription,include_in_final_ocr_test,annotation_notes
69,hmx-0605,love jihad mai nabalik hindu ladkio ko kese akbar babur kai haram ki ye najayaz olade fsate hai ye video dekho aur aas paas apni aakhe khuli rakho dusro ko bhi btao,e००# Dcv Gupta 3 7 D=-EIIIL=i al2l - Ycटc २५1 WEWS Oucrnci Commcnts Your rcplics love jihad mai nabalik hindu ladkio ko kese akbar babur kai haram ki ye najayaz olade Isate nai ye video dekho aur aas paas apni aakne khuli rakno dusro ko bhi lbtao IIKEI,"eoom Dcv Gupta B {Cedil "" 321.M4. 'chc 251 MEw5 Ovcmnc Commcnts Your rcplics love jihad mai nabalik hindu Iadkio ko kese akbar babur kai haram ki ye najayaz olade fsate hai ye video dekho aur aas paas apni aakne khuli rakho dusro ko bhi brao FFAKE",love jihad mai nabalik hindu ladkio ko kese akbar babur kai haram ki ye najayaz olade fsate hai ye video dekho aur aas paas apni aakhe khuli rakho dusro ko bhi btao,yes,
70,hmx-0254,Anant Ambani ne Mumbai ke Lalbaugcha Raja ko 20-kg sone ka mukut daan kiya: Kimat ₹15 crore. Yeh daan Ganesh Chaturthi samaroh se pehle kiya gaya tha.,g Anant Ambani ne Mumbai ke Lalbaugcha Raja ko २०-kg sone ka mukut daan kiyaः Kimat ३l5 crore Yeh daan Ganesh Chaturthi samaroh se pehle kiya gaya tha. alva,8 Anant Ambani ne Mumbai ke Lalbaugcha Raja ko 20-kg sone ka mukut daan kiya: Kimat {15 crore. Yeh daan Ganesh Chaturthi samaroh se pehle kiya gaya tha. anta,Anant Ambani ne Mumbai ke Lalbaugcha Raja ko 20-kg sone ka mukut daan kiya: Kimat ₹15 crore. Yeh daan Ganesh Chaturthi samaroh se pehle kiya gaya tha.,yes,
71,hmx-0626,Kuwait se ghar waapsi,399^ Lallulal Yadav 8 १२ hrs CKE % Cec+ Kuwait se ghar Waapsi,"Boom Lallulal Yadav B 2 kurs GAKD C ""GhECY Kuwait se ghar waapsi",Kuwait se ghar waapsi,yes,
72,hmx-0647,"Sunil Gavaskar on Star Sports: ""I am ashamed to call myself Indian. Yeh sabse bekaar Cricket World Cup hai. Khaali stadiums, koi scoreboard nahi, aur BCCI ki pathetic management!"" Gavaskar ne kuch nahi chhoda bolne mein.","69%# CHEc+ 8 totacटणाप CEUU 0 AलT 79 709 Dekhiye BI snasit Maharashtra ka haal .. Ha/ bag mein BJl ka poszer, ek banner aur ek 8 GOLD biscuit mila Nanded hanarashtra mein. "" Idodi aur umit Snan ka yani plan hai kya 4७D + seat jeeine ka! 121$7 399 A 299 90 "" 0240 0 "" + 390","1 Go04 ~GHECY 8 Mjeaittt MdMi AcT Sa Saa { Dekhiye BJP shasit Maharashtra ka haal "" A Har bag mein BJP ka poster, ek banner aur ek { GOLD biscuit mila Nanded, Maharashtra mein. 7 Madi aur Amit Shan ka yani ( plan hai kya 400+ Iseat jeetne ka? Ase { FALSE 7 < { Eo Ear 1 7 7 .","Dekhiye BJP shasit Maharashtra ka haal... Har bag mein BJP ka poster, ek banner aur ek GOLD biscuit mila Nanded, Maharashtra mein. Modi aur Amit Shah ka yahi plan hai kya 400+ seat jeetne ka?",no,Metadata/image mismatch; image appears to contain hmx-0643 content (swapped pair).
73,hmx-0470,Tesla ne India mein apna pehla showroom launch kiya... Aur humare Finance Minister Sitaraman ji ka reaction – (Emraan Hashmi style) 'Aa gaya swaad!,Tesla ne India mein apna pehla showroom launch kiya... Aur humare Finance Minister Sitaraman ji ka reaction Sitaraman,Tesla ne India mein apna pehla showroom launch kiya . Aur humare Finance Minister Sitaraman ji ka reaction Sitaraman,Tesla ne India mein apna pehla showroom launch kiya... Aur humare Finance Minister Sitaraman ji ka reaction,yes,
74,hmx-0480,"""Proper Comedy Rajya Sabha mein bhaashan sunte sunte so gaye, naach rahe gilliya""","Plishu Wlan E0%^ Proper Corr edy U"") UsaIDND| Ralya Jauhamncini-naa na""sun s uns co-ayc aachlal- 11 )-00""7771(","Nishuthan 8004 ""Proper Comedy 8 ~MISLEAdind] RaJye Sabhamein Bhuathan #Lnte #unte #0 guye, naach rane #ccmtnn: Cameanl","""Proper Comedy"" Rajya Sabha mein bhaashan sunte sunte so gaye, naach rahe",yes,
75,hmx-0508,"Shivamogga mein Muslim ladkon ne Hindu ladkon ke sir par kesariya kapda baandha, pattharbaazi, aur kaanch todne jaise kaand kiye.","ँinad ranarhu 200 - Shivamogga mein Muslim ladkon cie ne Hindu ladkon ke sir par kesariya kapda baandha, pattharbaazi aur kaanch todne jaise kaand kiye. HAAE +771003 10 610036","VinodKanachu 8o0m 3 Shivamogga mein Muslim ladkon che ne Hindu Iadkon ke sir par kesariya kapda baandha, pattharbaazi, aur kaanch todne jaise kaand kiye: ""FAKEJ Egnroi 1n ;har?","Shivamogga mein Muslim ladkon ne Hindu ladkon ke sir par kesariya kapda baandha, pattharbaazi, aur kaanch todne jaise kaand kiye.",yes,
76,hmx-0192,"Jharkhand mein Congress mantri ke secretary ke ghar ED raid, ₹25 crore cash milaVirendra Ram case se judi thi yeh raid.","&्ै Jharkhand mein Congress mantri ke secretary ke ghar ED raid, =२५ crore cash mila Virendra Ram case se judi thi yeh raid. ""llie alva","[ Jharkhand mein Congress mantri ke secretary ke ghar ED raid, {25 crore cash mila Virendra Ram case se judi thi yeh raid. The alva","Jharkhand mein Congress mantri ke secretary ke ghar ED raid, ₹25 crore cash mila Virendra Ram case se judi thi yeh raid.",yes,
77,hmx-0196,"Harry Potter aur Downton Abbey ki superstar, Oscar winner abhinetri Maggie Smith 89 saal ki umar mein chal basi. Ek saal pehle Dumbledore a.k.a. Michael Gambon bhi chal base the!",श्ै Harry Potter aur Downton Abbey Ri superstar Oscar winner abhinetri Maggie Smith 8९ saal ki umar mein chal basi. El saal pehle Dumbledore aka. Michael Gambon bhi chal base the! atva `lhe,8 1 Harry Potter aur Downton Abbey ki superstar 1 Oscar winner abhinetri Maggie Smith 89 saal ki umar mein chal basi. Ek saal pehle Dumbledore a.k.a: Michael Gambon bhi chal base thel alva The,"Harry Potter aur Downton Abbey ki superstar, Oscar winner abhinetri Maggie Smith 89 saal ki umar mein chal basi. Ek saal pehle Dumbledore a.k.a. Michael Gambon bhi chal base the!",yes,
78,hmx-0557,"Al Mujibur Rahman College, Dhaka, Bangladesh. Hindu students are identified and beaten to death."" Hindu chhatron ko pehchaan kar maar diya gaya.","eoo Ycne 8 IUdEnLs arE icnttiEuai Dzaten ID drath- lUIIDULI 118 CullEyc malta, -lngIaJEain 2 Iindu datron Io penchaan lwr Inaar dia gaya साप 7 / "" ""2)0111*_20|2+2021 co1 6uir 12|0 11| *1 1 7",Goo4 Gch9 B students arE denblied Ji Deaten [D death FlpouI Tc college nako; Dongudesn 7 Jindu chhatron ko pehchaan kai Maa diye g4yJ FALSE 2 7 7 ujorECoo.402t J ae 1 Cal M nn De,"Al Mujibur Rahman College, Dhaka, Bangladesh. Hindu students are identified and beaten to death. Hindu chhatron ko pehchaan kar maar diya gaya.",yes,
79,hmx-0725,"BBC NEWS “Woh madad lene gaya aur wapas nahi aaya""","8 8 ट NEWS BBC NEWS ""Noh madad lene gaya aur wapas nahi aaya""","B B dNEWS BBC NEWS ""Woh madad lene gaya aur wapas nahi aaya""",BBC NEWS “Woh madad lene gaya aur wapas nahi aaya”,yes,
80,hmx-0011,Indian-American Youtuber ne bataya Pahalgam aur Operation Sindoor ka sachh.,Indian American Youtuber ne bataya Pahalgam aur Operation Sindoor ka sachh. १२.MAY.25 INDIAINLASTZAHR,Indian-American Youtuber ne bataya Pahalgam aur Operation Sindoor ka sachh: 12.MAY.25 INDIAINLAST2AHR,Indian-American Youtuber ne bataya Pahalgam aur Operation Sindoor ka sachh.,yes,
81,hmx-0699,"Internet ka kehna hai Prakash Raj Special Ops season 2 mein 'useless' hai, memes social media par chha gaye","#Entertainment Internet ka kehna hai Prakash Raj Special Ops season 2 mein 'useless hai, memes social media par chha gaye Swipe","#Entertainment Internet ka kehna hai Prakash Raj Special Ops season 2 mein 'useless' hai, memes social media par chha gaye Swipe","Internet ka kehna hai Prakash Raj Special Ops season 2 mein 'useless' hai, memes social media par chha gaye",yes,
82,hmx-0057,"Ek rare 80,000-saal purana mystery comet Bengaluru ke aasmaan ko pink aur yellow mein roshan kar raha hai | VISUALS DEKHO. Aasmaan mein yeh khoobsurat nishaan social media par viral ho gaye hain.","श्ै Ek rare 8०,o०O-saal purana mystery comet Bengaluru ke aasmaan ko pink aur yellow mein roshan kar raha hai | VISUALS DEKHO. Aasmaan mein yeh khoobsurat nishaan social media par viral ho gaye hain alva","8 1 Ek rare 80,000-saal purana mystery comet Bengaluru ke aasmaan ko pink aur yellow mein roshan kar raha hai | VISUALS DEKHO. Aasmaan mein yeh khoobsurat nishaan social media par viral ho gaye hain: anta","Ek rare 80,000-saal purana mystery comet Bengaluru ke aasmaan ko pink aur yellow mein roshan kar raha hai | VISUALS DEKHO. Aasmaan mein yeh khoobsurat nishaan social media par viral ho gaye hain.",yes,
83,hmx-0477,"aj Somvaar ke din hue nahi na utsav ka mahaul hai!! Hum sab jaante hain kyun Gyanvapi garbhgrih ke khudai wali jagah Shivling mila hai, do jagah seal honge – Varanasi Court.","AITRD crwantlnhuah 0V@l Deeटाो 7[1*2 *-07700""771 77= "" *7707""7100 77717 nalu Hum 5ab Shi Ing Irila 777 qab ७arh kc rinucal 77 G r""ZE 4[017 |37an DnDit 17777750177017 7 %7[7271777*577",CEnAtuntha KicoIc DOrad mee Ciaia Amanam K4i_ ^uc nahine haldum Zb Shlving Tila HaAni oibnarhkc khuc l Ntmr Grwac F Iogah nondc Marseec Comrt Cna iininen,"aj Somvaar ke din hue nahi na utsav ka mahaul hai!! Hum sab jaante hain kyun Gyanvapi garbhgrih ke khudai wali jagah Shivling mila hai, do jagah seal honge - Varanasi Court.",yes,
84,hmx-0279,20 saal ki Rachel Gupta bani pehli Indian jinhone Miss Grand International jeeta: History likh di.,alva nexT ]7 DOOR २० saal ki Rachel Gupta bani pehli Bharatiya jinhone Miss Grand International jeeta: Itihaas rach diya | Dekhiye visuals Is global beauty pageant mein ७०+ deshon ki mahilaayein shamil hui thi. ढै,Tatva next F DQQR 20 saal ki Rachel Gupta bani pehli Bharatiya jinhone Miss Grand International jeeta: Itihaas rach diya | Dekhiye visuals Is global beauty pageant mein 70+ deshon ki mahilaayein shamil hui thi. 5 |,20 saal ki Rachel Gupta bani pehli Bharatiya jinhone Miss Grand International jeeta: Itihaas rach diya | Dekhiye visuals Is global beauty pageant mein 70+ deshon ki mahilaayein shamil hui thi.,yes,
85,hmx-0489,"""Azadi"" chhodi, Azamgarh se Azam hai. Pehle Ghulam Nabi Azad Congress ke Azadi ke liye lad rahe the, ab Azadi chhod ke Ghar wapas aa gaye hain Amit Shah ke paas.","0०म 8 1[0""<9< Tce d!rn5-f5:-*7* Azadi"" chhodi, Azamgarh se Azam hai CAKD Pehle Gnulam Nabi Azad Congress ke Azadi ke liye lad rahe the ab Azadi Shhod ke paas. ke Ghar wapas aa gaye naiin Amit + ""","1004 B at Trans Entar #tt"" 'Azadl"" chhodi; Azamgarh sc Azam hal 'GAKD Pehle Ghulam Nabi Azad Congress ke Azadi ke llye Iad rahe the; ab Azadi Shboc ke paas. ke Ghar wapas aa gaye hain Amit 7 2 1","""Azadi"" chhodi, Azamgarh se Azam hai. Pehle Ghulam Nabi Azad Congress ke Azadi ke liye lad rahe the, ab Azadi chhod ke Ghar wapas aa gaye hain Amit Shah ke paas.",yes,
86,hmx-0319,"Pilot: ""Fuel kyun cut kiya?"" Doosra pilot: ""Maine nahi kiya!"" Air India flight ke engines take-off ke baad band ho gaye — blackbox ne sab reveal kar diya.",Fuel kyun Maine cut kiya? nahi kiya! Air India flight ke engines take-off ke baad band ho gaye blackbox ki report ne sab reveal kar diya Pilot recording me bhi sunai diya ki dono discuss kar rahe the ki cngine kisne band kiya alva,Fuel kyun Maine cut kiya? nahi kiya! Air India flight ke engines take-off ke baad band ho gaye blackbox ki report ne sab reveal kar diya: Pilot recording me bhi sunai diya ki dono discuss kar rahe the ki engine kisne band kiya. alta,Fuel kyun cut kiya? Maine nahi kiya! Air India flight ke engines take-off ke baad band ho gaye — blackbox ki report ne sab reveal kar diya. Pilot recording me bhi sunai diya ki dono discuss kar rahe the ki engine kisne band kiya.,yes,
87,hmx-0687,Air India ke plane ki tail landing ke baad Delhi Airport par aag lag gayi; passengers surakshit hain,"Cemedy Culजureain २२ July, २०२५ Aabam2o dbod ogira IT-EXH talluv1101%0*1 Air India ke plane Ki tail landing ke baad Delhi Airport par aag lag gayi; passengers surakshit hain","C-med_Culburein 22 July, 2025 AiR NDUA VT-EXH AuuiA0c Air India ke plane ki tail landing ke baad Delhi Airport par aag lag Igayi; passengers surakshit hain",Air India ke plane ki tail landing ke baad Delhi Airport par aag lag gayi; passengers surakshit hain,yes,
88,hmx-0418,Bharat Sarkaar Manipur Bharat Sarkaar Israel,MANIPUR Bharat Sarkaar ISRAEL Bharat Sarkaar,MANIPUR Bharat Sarkaar ISRAEL Bharat Sarkaar,MANIPUR Bharat Sarkaar ISRAEL Bharat Sarkaar,yes,
89,hmx-0051,"We will win 295 seats just like Sidhu Moosewala's song': Rahul Gandhi as he calls exit-polls fake | WATCH Meanwhile, his mother has claimed 272 seats of I.N.D.I.A. bloc ahead of results.","taran : Rahul Gandhi ne kana exit polls jhoothe hain | WATCH Hum leetenge Z९५ seats bilkul Sidhu Moosewala ke gaane KIl Wahiin, unki maa ne claim kiya hai ki IND IA. bloc २७२ seats jeet raha hai results se pehle aulVit","tarah""; Rahul Gandhi ne kaha exit polls jhoothe hain | WATCHI Hum jeetenge 295 seats bilkul Sidhu Mpoasewala ke gaane kil Wahiin; unki maa ne claim kiya hai ki LND.LA. bloc 272 seats jeet raha hai results se pehle: 3 Ala","Hum jeetenge 295 seats bilkul Sidhu Moosewala ke gaane ki tarah: Rahul Gandhi ne kaha exit polls jhoothe hain | WATCH Wahin, unki maa ne claim kiya hai I.N.D.I.A. bloc 272 seats jeet raha hai results se pehle.",yes,
90,hmx-0691,"‘F*ck off, Indians’: Ek Indian student par Australia mein jaati-bhedbhav ke chalte brutal hamla, sadak ke beech chhod diya marne ke liye | VIDEO dekhein 5 aadmiyon ne metal knuckles se us par sadak ke beech hamla kiya.","श्रै "" Fxckoff, Indians : EIndian डtuaent par Australia mein jaati-bhedbhav ke chalte brutal hamla, sadak ke beech chhod diya marne ke liye VIDEO dekhein 5 aadmiyon ne metal knuckles se us par sadak ke beech hamla kiya. alva Tli","8 1 Frck Off;, Indians : Ek Indan student par Australlia Imein jaati-bhedbhav ke chalte brutal hamla, sadak ke beech chhod diya marne ke liye VIDEO dekhein 15 aadmiyon ne metal knuckles se Us par sadak ke beech hamla kiya: alva Tle","‘F*ck off, Indians’: Ek Indian student par Australia mein jaati-bhedbhav ke chalte brutal hamla, sadak ke beech chhod diya marne ke liye | VIDEO dekhein 5 aadmiyon ne metal knuckles se us par sadak ke beech hamla kiya.",yes,
91,hmx-0312,"‘Pakistan mein 50 million log mental disorders se suffer kar rahe hain’ Karachi: Kareeb 50 million log Pakistan mein aam mental problems se joojh rahe hain. Yeh bimari 15 se 35 million adults ko effect karti hai, jo ki population ka 10-20% hai. “Takriban 2 crore bachche yaani 10% population ko mental health specialist ki zarurat hai,” yeh kaha Dr Ayesha Mian ne, jo Aga Khan University mein psychiatry department ki chairperson hain. Unhone yeh baat Karachi Press Club mein mental health par hui ek baatcheet mein kahi. Yeh session World Mental Health Day ke connection mein 10 October ko organize kiya gaya tha.","DAWN E PAFER| WEY २९ २०२५ HDNE LATEST PANINDIA TIES GAZA SIEGE PANISTAN CPINIDN BLSINESS IMAGES PRIS W 0 Pakistan mein ५० million log mental disorders se suffer kar rahe hain Karachi: Kareeb ५० million log Pakistan mein aam mental problems se joojh rahe hain. Yeh bimari 1५ se ३५ million adults ko effect karti hai, jo ki population ka 1O-२०% hai. ""Takriban 2 crore bachche yaani Lo% population ko mental health specialist ki zarurat hai, yeh kaha Dr Ayesha Mian ne, jo Aga Khan University mein psychiatry department ki chairperson hain. Unhone yeh baat Karachi Press Club mein mental health par hui ek baatcheet mein kahi. Yeh session World Mental Health Day ke connection mein LO October ko organize kiya gaya tha.","DAWN E-PAPER VAY 202025 HOME LATEST PaK-INDIA TIES GAZA SIEGE PAKISTAN OPINION BUSINESS IMAGES Prism w @ Pakistan mein 50 million log mental disorders se suffer kar rahe hain' Karachi: Kareeb 50 million log Pakistan mein aam mental problems se joojh rahe hain: Yeh bimari 15 se 35 million adults ko effect karti hai, jo ki population ka 10-20% hai. ""Takriban 2 crore bachche yaani 10% population ko mental health specialist ki zarurat hai; yeh kaha Dr Ayesha Mian ne, jo Aga Khan University mein psychiatry department ki chairperson hain. Unhone yeh baat Karachi Press Club mein mental health par hui ek baatcheet mein kahi: Yeh session World Mental Health Day ke connection mein 10 October ko organize kiya gaya tha:.","‘Pakistan mein 50 million log mental disorders se suffer kar rahe hain’ Karachi: Kareeb 50 million log Pakistan mein aam mental problems se joojh rahe hain. Yeh bimari 15 se 35 million adults ko effect karti hai, jo ki population ka 10-20% hai. “Takriban 2 crore bachche yaani 10% population ko mental health specialist ki zarurat hai,” yeh kaha Dr Ayesha Mian ne, jo Aga Khan University mein psychiatry department ki chairperson hain. Unhone yeh baat Karachi Press Club mein mental health par hui ek baatcheet mein kahi. Yeh session World Mental Health Day ke connection mein 10 October ko organize kiya gaya tha.",yes,
92,hmx-0623,"Har mandir mein mujhe dabaya gaya, mujhe zameen mein daba ke ‘bhool’ gaye the log!","099^ |3 0 ' CHcc* Woanldne votp+ mao <noen 00!* 07 to iuedi0""e -9 [क़ट","goom B ram ""GHECS mndeaumm Aanttn Pi"" GT 4bid"" Oureeo FAKE]","Har mandir main mujhe dabaya gaya, mujhe zameen main daba ke ‘bhool’ gaya the log!",yes,
93,hmx-0354,"IIM Calcutta rape case mein survivor ki family chup, SIT ko mil raha struggle.","ThePrint IIM Calcutta rape case mein survivor ki family chup, SIT ko mil raha struggle. rpmणsगण J फःLa 6at: िउमन रेग रठिॅठ 97 षान्प छ","ThePrint IIM Calcutta rape case mein survivor ki family chup, SIT ko mil raha struggle: EBA ASTtn DAXECF Fleyna 3ui65 4 0r76","IIM Calcutta rape case mein survivor ki family chup, SIT ko mil raha struggle.",yes,
94,hmx-0560,"Pakistan jald hi ghutno par hoga, yeh ek vaada hai Hind ki ek beti ki taraf se.) Jai Hind Colonel Sofiya Qureshi pehli mahila hain jo Bharat ki sena ke ek multi-national military exercise Force 18 mein ek contingent ki leadership kar rahi hain, jo Commentary Pradayi, India mein ho raha hai.","eoo Ycie 8 Col Sofiya Qurcshi Pakistan jald hi ghutno Wnrenn rokistan par hoga yeh ek vaada "" promise ( se. hai Hind ki ck Dcti ki tarar Jai Hina Eu 7 Jay |41 "" ळे डत ४४ @rsoe **0@ TO५ Srठ Col Sutlya Qureahi + ahगal tchar clmu oatehwm ltalh 0)010 codc Bio Dar ru hain la Commenary erdlze Farre LB meine- cpr tnoentl e28""""In02""ci0|91-79003","Goo4 Grc9 B Col Sofiya Qurcshi Pakistan jald hi ghutno Meresh Hte Kakkistan par hoga, yeh ek vaada 1 promise tse; (hai Hind ki ek beti ki taraf Jai Hind FAK 1 Jay Hi 1 79r8a So Brsde 78O@ FoG SrZ ~ Col Soflya Qureshl 1' Jhatat ! Eeniteelmit natonamian nainio cdcrtipKar nhnaln / Commertary Rercise Force 18 mein el Cortinozne h Id4y , IncieTeintha Taha he { C","Pakistan jald hi ghutno par hoga, yeh ek vaada hai Hind ki ek beti ki taraf se. Jai Hind Col Sofiya Qureshi pehli mahila hain jo Bharat ki sena ke ek multi-national military exercise Force 18 mein ek contingent ki leadership kar rahi hain, jo Commentary Pradayi, India mein ho raha hai.",yes,
95,hmx-0019,"Pehle barf se dhaka tha, ab Antarctica hara ho raha hai: Scientists shocked Satellite pics dekh ke sab ghabra gaye, researchers turant pahunch gaye…",":0177;1 Pehle barf se dhaka tha, ab Antarctica hara ho raha hai: Scientists shockea Satellite pics dekh ke sab ghabra gaye, researchers turant pahunch gaye 6","ana Pehle barf se dhaka tha, ab Antarctica hara ho raha hai: Scientists shocked Satellite pics dekh ke sab ghabra gaye, researchers turant pahunch gaye:- 6","Pehle barf se dhaka tha, ab Antarctica hara ho raha hai: Scientists shocked Satellite pics dekh ke sab ghabra gaye, researchers turant pahunch gaye...",yes,
96,hmx-0454,"“Islam duniya ka sabse tezi se badhne wala dharm hai, pichle 10 saalon mein 347 million se badha. Hindu chauthe number par hain.”","WEWड18 wali religion hai, pichle LO saalon mein ""lslam duniya ki sabse tezi se bbadhne ३४7 million se zyada badha, Hindus chauthe number par","NEws8 wali religion hai, pichle 10 saalon mein ""Islam duniya ki sabse tezi se badhne 347 million se zyada badha, Hindus chauthe number par","""Islam duniya ki sabse tezi se badhne wali religion hai, pichle 10 saalon mein 347 million se zyada badha, Hindus chauthe number par.""",yes,
97,hmx-0294,Jeevansathi Report 2025: What Do Indian Singles Really Think About Love & Marriage? A new Modern Matchmaking Report by Jeevansathi surveyed thousands of Indian singles across metros and small towns. Here’s what the findings reveal:,श्लै Jeevansathi Report २०२५: What Do Indian Singles Really Think About Love & Marriage? Anew Modern Matchmaking Report by Jeevansathi surveyed thousands of Indian singles across metros and Tlut alva,8 1 Jeevansathi Report 2025: What Do Indian Singles Really Think About Love & Marriage? A new Modern Matchmaking Report by Jeevansathi surveyed thousands of Indian singles across metros and The alva,Jeevansathi Report 2025: What Do Indian Singles Really Think About Love & Marriage? A new Modern Matchmaking Report by Jeevansathi surveyed thousands of Indian singles across metros and,yes,Source image/caption is visibly truncated; gold transcription follows only the visible claim-bearing text.
98,hmx-0722,"Atheist Krishna’, jinke memes ne PM Modi ko muskura diya, pneumonia se wafat pa gaye.","NIV Atheist Krishna , jinke memes ne PM Modi ko muskura diya pneumonia se wafat pa gaye Image tweeted by @Atheist Krishna","NOTV Atheist Krishna' , jinke memes ne PM Modi ko muskura diya, pneumonia se wafat pa gaye: Image tweeted by @Atheist_Krishna","‘Atheist Krishna’, jinke memes ne PM Modi ko muskura diya, pneumonia se wafat pa gaye.",yes,
99,hmx-0661,Sachcha baat hai Agar aap Aam Aadmi Party ke hain to Himachal ki matao behnon ko milega 1000 rupay pratimaah – Arvind Kejriwal,"econ 8 Sachhi Baat ९८ )६7 LAK फाररत पनणन सगरायएात Eट नताः हिनाचल को माताओं बहनों को मिलेगा १००० रुपये प्रतिमाह nC Jरुा अरविद चजरीवाल 112स841-6""4 ]0?? ultu"" Fn 171 7017 रl१+--c",8oo4 B Sachhi Baat Sto FAkD WrEd 7annurtt Ier Hl: fangdianpit-aeaial] fiapit 1000 343 Hiadire lc 46 Jrfar drirlct 0TJ44n 77> C4man Piuta Aligeenn Lintta Fat ILer Jc,Sachhi Baat हिमाचल की माताओं-बहनों को मिलेगा 1000 रुपये प्रतिमाह - अरविंद केजरीवाल,yes,
100,hmx-0606,Ajay Singh Bisht ko baune par throughout ke chal jahoorn na bahut beizzati hoi...Gajab beizzati hai! 😜😂,"8००^ LincEn Cnaunon B Ajay Singh Bisht ko baune par dizsll chiaulall ख throughout ke chal jahoorn na bahut beizzati hoi. . = Gajab beizzati hai! ""277e10+ 0:00 2:38[| +|Feb5,20022 Wuliet for Andioid","Boom Dinecn Chounan B Ajay Singh Bisht ko baune par rulneshcheulan Fcg throughout ke chal jahoorn na bahut beizzati hoi . GAKB Gajab beizzati hai! ] O4 O0d 2.36 PV . Feb5,2022 Wittet for Artroid",Ajay Singh Bisht ko baune par throughout ke chal jahoorn na bahut beizzati hoi... Gajab beizzati hai!,yes,
101,hmx-0453,"Adani ki companiyon ne NDTV mein 29.18% bade stakes 'indirectly' khareed liye hain, aur ₹492.8 crore ka open offer cash mein launch kiya hai. Adani ke media wing ne yeh offer SEBI ke niyam-kanoon ke anusaar launch kiya hai","meri awaz hi meri pehchan hai adani NDIV Adani ki companies ne NDT/ mein २९. 1८% bada hissa 'indirectly kharida, launch kiya र४९२.8 crore ke cash open offer ke saath Adani media arm ne yeh offer SE३I ke rules","meri awaz hi meri pehchan hai adani NDTV Adani ki companies ne NDTV mein 29.18% Ibada hissa 'indirectly' kharida, Iaunch kiya {492.8 crore ke cash open offer ke saath Adani media arm ne yeh offer SEBI ke rules","meri awaz hi meri pehchan hai Adani ki companies ne NDTV mein 29.18% bada hissa 'indirectly' kharida, ₹492.8 crore ke cash open offer ke saath launch kiya Adani media arm ne yeh offer SEBI ke rules",yes,Source image/caption is visibly truncated; gold transcription follows only the visible claim-bearing text.
102,hmx-0281,"Ek study kehti hai sarcasm intelligence, high IQ aur maturity ka sign hai: Serious hone se better hai sarcastic hona.","allVa Study kehti hai ki sarcasm hona intelligence high IQ aur maturity ki nishani hai: Ye serious aur bevakoof hone se better hai Sarcasm sabse neeche level ka humour ho sakta hai, Iekin sabse uncha intelligence ka form bhi hai. &्लै","Ala Study kehti hai ki sarcasm hona intelligence, high IQ aur maturity ki nishani hai: Ye serious aur bevakoof hone se better hai 'Sarcasm sabse neeche level ka humour ho sakta hai, lekin sabse uncha intelligence ka form bhi hai: 1 8","Study kehti hai ki sarcasm hona intelligence, high IQ aur maturity ki nishani hai: Ye serious aur bevakoof hone se better hai ‘Sarcasm sabse neeche level ka humour ho sakta hai, lekin sabse uncha intelligence ka form bhi hai.’",yes,
103,hmx-0546,"Yeh photo jisme Pradhan Mantri Modi ji microscope se kuch dekh rahe hain, edit ki gayi hai. Is image ko social media par galat claim ke sath viral kiya gaya tha. BOOM Fact Check ne ise FAKE declare kiya hai","eo०n Ycutc 0 Twr r+ मग्गपमार दपग 0 7 Ten ohoto jisine Podhan Mlanai Modi ji micioscoo sa tuch JEln rohE min editd gayi hai Is Imnage Ka Social nEuia par galat ciaim PE sath Viral Kiya gaya tha. BOOH Fact ChELK nE I८ TiAL dzzlari= Klyla ""Di TIKE / 7 7 "" sण","8o04 ""och9 B Twcct 47yrr4o 7 Nen pnoto jismie Prodhan Mantzi Modi ji micloscope s Kuch ek rhe mlin; edit ki gayi hai. Is Irnage ka social n Edla par gelat claim Ke sath viral kiya gpya tha. BOOM Fact Check nE Ise FAKE declare kIYp nI Fak 7 1 7 1 nD","Yeh photo jisme Pradhan Mantri Modi ji microscope se kuch dekh rahe hain, edit ki gayi hai. Is image ko social media par galat claim ke sath viral kiya gaya tha. BOOM Fact Check ne ise FAKE declare kiya hai",yes,
104,hmx-0474,India jeetne k Khushi pe Ganesh Aarti hi laga diPakistan walo k samne bajai gayi Ganesh aarti India won by 6 wickets meenakshikanu: India jeetne ki khushi pe Ganesh Aarti,"3००# 8 cHE Ganesh Aarti hi laga di India jeetne k Khushi pe 790 exlmap | 300 0 KःEFLH FEla *71> "" MISLEADING "" Indiझ wonby bwicxctg 7 mitcnakahikanu India jeetiie Li Llwshui pe Ganesh Aarti २a",8o04 B che Ganesh Aartihi laga di Indiajeetne k Khushipe 7 ealotal ( enanaalant 0 GkgaA PANE Sn Falea 1 Misleading 1 Udib won by 6 wickets 74 mcenakshikanu India jeetre Ki Lhushi pe Ganesh Aarti 2d 3,India jeetne k Khushi pe Ganesh Aarti hi laga di India won by 6 wickets meenakshikanu India jeetne ki khushi pe Ganesh Aarti,yes,
